P-521,hqc256,p521_hqc256
816.92,2192.49,2512.99
410.52,1951.47,2263.52
413.71,1792.05,2791.89
563.64,2002.94,2007.32
1448.64,1956.06,2209.65
417.33,1973.04,2003.60
442.34,3360.39,2028.03
427.94,1967.89,2079.08
408.89,1945.47,1820.78
411.21,1939.32,1970.30
410.11,1990.02,1975.73
408.15,2945.93,2316.43
410.01,2548.61,3031.84
415.79,2948.18,2010.21
411.14,1955.58,2625.05
434.04,2027.96,2978.26
407.79,4513.87,2031.88
409.90,1781.12,1971.83
424.32,1979.70,1979.72
435.76,1963.10,1976.46
421.45,1978.59,1804.05
410.35,1791.51,3059.49
412.42,2979.57,2004.48
412.56,1961.08,3454.82
407.46,2973.14,2725.40
1409.24,2791.79,2136.55
409.72,2961.43,1980.56
433.08,2002.25,1984.55
409.59,1947.35,1980.69
412.82,2059.12,1970.49
409.91,1943.08,1977.29
408.09,1970.48,2001.02
415.86,1973.51,2008.55
419.62,3371.95,2110.87
409.49,2639.39,2945.40
410.71,2074.80,2781.22
414.49,1979.96,1975.60
407.84,1773.35,2010.87
413.57,1945.52,4093.28
407.62,3376.76,1949.18
418.78,2000.64,2561.07
407.12,1969.02,1953.17
412.55,1960.69,3013.53
409.58,2001.95,2015.83
411.65,2983.55,2050.00
419.32,2564.40,2044.93
407.92,1944.37,1879.29
409.75,1778.62,2751.25
413.17,1968.52,4502.08
408.07,2189.86,3050.24
