P-521,hqc256,p521_hqc256
107.79,652.35,604.26
68.38,503.10,290.24
49.13,536.35,490.72
84.93,711.59,469.09
79.11,623.97,1064.80
233.25,1053.97,593.36
93.27,292.79,295.08
93.05,269.20,537.29
104.58,293.97,548.87
94.49,662.22,475.61
125.96,544.63,647.54
98.23,512.61,823.56
148.50,768.87,2321.96
82.09,552.62,697.02
110.31,1737.00,853.89
117.76,676.89,511.57
80.72,360.67,379.21
107.68,521.08,675.72
192.02,434.42,468.93
147.94,844.31,619.28
78.58,687.98,803.04
100.24,662.85,647.03
100.31,520.15,775.69
85.16,648.91,540.77
131.12,484.07,828.31
96.09,1732.99,579.40
90.18,835.36,600.20
110.28,370.91,561.51
111.05,739.99,357.60
132.87,510.89,756.61
85.86,1070.34,483.49
82.57,608.65,273.72
90.10,409.76,683.16
79.63,585.18,789.65
97.94,584.08,548.23
81.01,504.66,309.34
138.70,509.52,498.87
124.47,602.26,483.60
87.68,966.09,542.14
84.04,632.98,280.56
114.68,617.45,1070.71
84.15,372.29,473.42
81.67,1708.71,612.77
118.56,735.93,501.57
132.46,783.98,802.71
108.02,542.61,1237.30
131.96,582.05,519.21
117.13,276.75,565.86
108.69,600.70,1254.53
101.79,432.75,886.91
