P-521,hqc256,p521_hqc256
22.89,123.80,228.80
77.89,152.55,215.40
32.85,162.63,247.30
8.44,136.40,222.50
10.38,136.47,148.63
11.97,113.40,138.91
8.40,150.59,152.76
10.88,389.97,140.46
17.82,187.12,112.17
19.32,318.07,352.28
9.82,252.38,145.76
7.86,181.05,253.74
10.66,124.86,176.75
10.23,180.33,476.89
13.21,555.86,249.65
11.01,303.36,133.75
12.75,138.87,177.47
7.15,122.95,427.41
10.53,122.30,110.17
8.11,193.03,329.65
7.72,316.73,130.42
6.75,127.08,159.15
8.07,128.47,251.79
33.47,119.75,405.19
17.63,114.64,905.93
8.12,108.25,268.41
9.32,169.28,181.12
13.22,141.97,135.22
20.41,150.57,210.49
51.97,179.01,194.09
29.42,116.85,231.28
6.90,161.23,158.85
9.02,113.69,208.19
16.63,171.38,133.68
10.72,115.64,249.86
20.07,188.10,245.79
8.33,152.91,145.86
8.16,113.02,162.43
9.32,125.66,144.26
10.66,186.28,115.79
7.01,333.91,143.24
12.06,356.80,149.57
64.94,112.18,123.55
8.10,134.42,176.70
10.52,145.97,125.87
12.28,289.96,567.40
8.91,167.23,325.16
10.09,311.31,133.87
53.42,129.30,216.65
40.64,626.57,232.94
