P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
1274.12,1274.43,237.33,318.98,339.95
170.59,149.45,1314.89,185.51,189.92
145.40,198.32,553.07,196.83,181.57
148.55,146.63,1251.91,288.40,211.94
164.22,145.35,195.67,186.67,518.23
146.52,151.62,225.83,313.07,379.61
165.80,144.32,300.44,285.54,518.57
155.03,155.38,197.56,257.20,198.37
154.42,182.49,244.57,275.49,207.93
146.38,168.99,436.86,295.34,388.45
145.96,174.48,1044.46,198.92,189.13
144.16,179.54,411.42,263.21,196.91
186.41,167.88,527.57,182.72,221.31
144.57,171.60,206.78,236.83,177.37
202.73,159.19,195.25,410.31,287.40
158.79,151.42,199.85,257.53,194.37
162.96,195.22,521.22,1241.32,1314.23
158.74,150.58,232.13,209.00,418.04
148.75,1236.36,245.52,220.05,272.37
145.01,149.70,329.94,200.87,338.68
143.97,151.99,338.35,280.81,189.02
144.46,146.62,309.25,594.35,238.97
151.34,152.43,239.44,454.22,172.10
157.28,148.20,322.30,241.32,204.89
147.40,152.69,201.87,207.53,424.14
148.19,157.57,465.48,272.06,345.99
160.08,156.83,239.84,215.57,257.93
228.74,146.66,261.58,191.80,233.00
166.83,160.97,588.08,214.90,285.06
173.13,172.56,210.44,226.07,628.81
578.97,159.54,279.64,245.45,395.11
395.35,165.05,408.77,301.27,215.03
304.46,144.40,1199.22,301.43,471.83
293.58,164.87,193.06,206.86,186.48
202.54,164.38,204.47,314.20,213.16
178.51,143.13,198.97,432.59,602.34
173.59,157.68,223.53,236.17,310.65
156.77,191.60,169.01,269.41,182.03
176.44,144.17,394.04,283.00,209.73
432.01,150.95,301.49,182.90,180.67
149.99,181.57,170.01,1218.73,314.33
176.78,150.34,636.25,192.74,251.12
187.06,150.99,279.51,178.55,261.88
150.44,162.18,276.22,457.25,212.69
155.82,157.46,537.80,199.09,212.17
145.95,155.39,437.64,200.59,208.20
164.74,426.54,323.38,1485.20,294.09
147.52,152.25,267.00,229.72,317.74
213.03,143.99,260.20,208.25,219.03
186.27,185.78,227.36,635.26,171.61
