P-384,x448,hqc192,p384_hqc192,x448_hqc192
21.28,6.62,105.83,88.44,87.32
7.34,9.59,306.33,74.92,74.20
10.09,19.60,559.27,117.37,130.97
14.83,4.04,73.11,127.99,87.61
14.15,8.28,60.55,79.08,180.75
12.18,3.82,79.13,87.98,52.87
7.67,3.69,424.68,106.48,54.98
7.50,7.58,72.38,78.66,60.28
11.40,4.26,117.20,288.54,74.82
37.16,11.67,106.03,180.46,68.11
41.06,7.60,63.76,134.97,89.59
14.44,13.52,338.73,147.23,116.02
15.08,5.11,164.08,165.48,94.04
20.10,5.49,316.81,76.68,84.88
21.82,3.98,213.39,205.09,191.93
9.95,7.29,185.06,97.62,79.75
8.45,93.12,253.73,80.44,61.55
10.40,4.10,267.95,123.74,84.85
7.98,26.11,65.27,68.09,220.48
39.61,95.94,81.23,86.01,58.88
9.01,3.83,121.61,81.94,165.75
7.27,3.88,191.20,78.33,237.66
25.52,4.01,89.35,119.04,133.99
14.84,3.68,68.11,129.32,291.24
28.29,3.94,71.22,96.31,103.78
18.61,5.38,57.95,96.29,413.05
20.64,3.80,93.41,279.15,187.04
9.01,3.78,111.84,81.09,69.82
20.88,5.98,112.03,104.97,57.68
12.84,5.21,74.05,77.82,148.35
9.73,17.52,89.16,66.05,68.44
15.04,4.82,84.33,225.90,78.03
13.04,3.82,84.10,167.49,80.74
22.64,8.87,71.41,99.26,167.16
57.00,2.82,52.97,78.77,116.55
34.82,7.26,75.22,103.50,223.07
10.22,3.50,70.02,794.80,68.47
14.76,12.94,103.86,593.28,55.84
8.97,6.15,78.38,126.23,62.86
103.92,10.00,88.20,677.25,58.63
7.38,5.14,75.05,72.24,74.06
12.53,4.36,81.51,109.43,59.49
8.19,9.79,100.26,285.70,58.15
10.67,4.74,167.18,191.19,72.75
22.95,27.97,155.58,128.79,96.43
9.11,8.95,147.32,190.82,68.58
10.57,6.73,488.21,95.09,61.59
9.28,4.23,53.45,189.36,94.38
14.49,7.24,73.10,75.78,65.38
20.47,5.40,136.81,143.46,60.48
