P-521,hqc256,p521_hqc256
17.42,106.52,195.84
13.70,134.67,164.09
46.89,126.07,204.41
16.32,152.55,198.75
100.64,124.51,283.12
50.02,149.09,141.29
27.28,244.15,127.97
17.32,115.71,132.64
32.12,115.60,147.94
41.59,128.06,152.73
59.84,134.75,153.50
45.42,340.15,263.29
21.66,126.30,123.51
32.86,199.74,283.29
98.22,148.13,119.24
19.56,128.82,148.48
18.24,106.07,172.16
17.31,115.41,146.09
38.99,106.03,123.59
18.13,133.73,120.80
21.76,127.57,137.08
18.89,112.28,142.06
31.84,119.78,130.34
24.39,147.02,145.74
13.95,164.02,166.09
16.79,110.59,227.46
14.25,124.49,149.75
23.35,99.33,161.93
17.27,142.27,180.37
121.05,224.52,334.75
16.34,156.39,125.39
21.02,236.23,192.52
17.07,340.06,169.44
16.86,128.57,126.19
78.12,108.11,152.41
15.85,132.03,178.73
17.40,129.15,273.36
19.22,102.25,174.40
16.04,184.95,177.35
20.26,109.04,174.88
22.71,222.86,142.80
13.60,349.44,153.43
32.08,146.79,190.28
31.80,418.18,117.23
36.62,146.63,148.51
14.94,115.08,225.58
18.71,382.47,124.62
12.95,235.86,136.23
22.70,103.37,131.25
35.47,105.08,138.67
