P-384,x448,hqc192,p384_hqc192,x448_hqc192
119.07,8.54,89.36,105.09,67.12
110.72,8.02,70.42,89.10,55.37
25.76,9.72,65.03,72.24,62.30
11.63,13.34,135.01,91.41,101.62
11.31,14.65,63.17,86.87,120.90
13.56,13.91,95.49,196.47,62.00
38.76,12.34,120.03,177.35,67.60
11.53,7.94,171.78,78.80,65.39
13.97,15.65,65.82,70.74,79.03
37.45,6.67,57.96,75.04,70.78
12.12,11.74,69.63,73.78,66.53
10.57,8.73,67.57,265.96,92.51
40.34,7.58,178.47,72.82,67.63
22.33,6.54,57.80,76.33,80.77
11.42,9.01,109.28,100.65,66.99
21.00,30.10,63.56,467.49,73.08
13.47,6.29,180.09,99.96,106.73
40.60,7.44,69.36,112.62,181.09
39.62,6.95,90.66,69.96,132.81
136.41,7.94,64.73,74.18,70.87
102.80,6.66,64.84,93.63,92.93
14.56,8.02,84.32,70.04,174.74
17.67,5.84,173.48,71.13,57.78
13.70,14.62,71.18,104.65,65.23
28.61,13.42,68.33,117.10,90.86
45.24,6.37,61.15,106.64,244.87
10.59,8.16,82.73,174.38,101.62
18.65,5.69,61.72,74.64,114.33
14.11,17.27,69.13,148.67,66.41
42.44,10.08,86.87,87.65,67.33
33.74,6.36,64.23,80.27,70.50
16.91,6.88,91.28,94.02,92.64
59.59,24.12,80.60,108.12,71.05
14.06,35.67,55.27,88.43,72.68
14.84,38.79,108.78,68.12,59.75
60.95,67.34,113.22,129.02,87.37
33.78,7.77,110.18,122.19,54.52
72.72,7.58,80.25,196.21,108.91
41.11,6.93,80.72,155.37,62.85
32.72,7.35,59.16,117.11,70.21
41.50,8.30,138.40,109.26,79.08
40.63,7.59,160.70,81.02,122.86
25.09,7.41,88.72,72.47,135.76
13.08,6.83,73.06,80.67,89.16
12.90,16.51,83.21,102.01,68.31
24.17,6.08,170.40,160.57,75.64
10.19,9.63,90.22,171.12,82.13
17.03,7.35,64.92,80.72,84.25
21.33,8.75,58.82,370.55,210.58
9.14,6.16,75.85,344.40,110.78
