P-521,hqc256,p521_hqc256
24.87,233.41,136.29
32.56,253.17,163.18
30.55,211.40,154.71
26.50,118.53,198.37
40.62,127.60,201.71
53.87,140.50,133.21
50.52,170.61,136.71
28.08,192.75,233.42
22.60,131.43,165.19
21.49,453.22,153.48
24.10,141.96,150.18
36.07,173.53,133.03
17.84,143.25,409.67
17.94,126.01,650.96
19.75,262.96,425.55
21.78,181.91,170.22
19.44,133.75,225.34
22.93,271.85,130.59
44.32,159.51,178.71
22.07,190.63,219.96
17.74,138.08,209.27
28.54,127.77,330.30
21.56,226.95,165.28
69.20,172.10,443.89
52.76,138.04,145.21
24.15,145.89,150.12
31.29,111.38,207.69
22.20,99.36,227.88
25.09,113.93,981.48
22.36,159.98,156.42
69.84,104.05,137.58
152.74,200.90,118.64
24.58,145.65,149.91
19.33,132.80,199.33
25.26,117.52,140.04
34.52,109.02,176.81
33.90,104.95,168.26
35.66,125.98,123.07
22.79,105.14,128.22
35.16,115.56,150.89
212.57,131.48,165.05
45.36,256.17,180.57
95.65,162.25,138.47
20.65,142.56,686.99
18.85,110.77,137.60
27.77,113.88,287.78
21.35,129.59,170.51
28.15,141.73,248.62
43.94,133.64,138.78
131.53,123.31,154.20
